acquisition,inchikey,column_hash,column,entryid
AU,GCFBRXLSHGKWDP-WJONJSRFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105002
AU,GCFBRXLSHGKWDP-WJONJSRFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105003
AU,GCFBRXLSHGKWDP-WJONJSRFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105004
AU,GCFBRXLSHGKWDP-WJONJSRFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105005
AU,ZBHXIWJRIFEVQY-IHMPYVIRSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105101
AU,MQTOSJVFKKJCRP-BICOPXKESA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105202
AU,MQTOSJVFKKJCRP-OHJWJPDZSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105203
AU,MQTOSJVFKKJCRP-OHJWJPDZSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105204
AU,MQTOSJVFKKJCRP-OHJWJPDZSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105205
AU,MQTOSJVFKKJCRP-OHJWJPDZSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105206
AU,AGOYDEPGAOXOCK-KCBOHYOISA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105301
AU,AGOYDEPGAOXOCK-KCBOHYOISA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105302
AU,AGOYDEPGAOXOCK-KCBOHYOISA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105303
AU,AGOYDEPGAOXOCK-KCBOHYOISA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105304
AU,AGOYDEPGAOXOCK-KCBOHYOISA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105305
AU,AGOYDEPGAOXOCK-KCBOHYOISA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105306
AU,ULGZDMOVFRHVEP-RWJQBGPGSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105402
AU,ULGZDMOVFRHVEP-RWJQBGPGSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105403
AU,ULGZDMOVFRHVEP-RWJQBGPGSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105404
AU,ULGZDMOVFRHVEP-RWJQBGPGSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105405
AU,UURAUHCOJAIIRQ-QGLSALSOSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105501
AU,UURAUHCOJAIIRQ-QGLSALSOSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105502
AU,UURAUHCOJAIIRQ-QGLSALSOSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105503
AU,UURAUHCOJAIIRQ-QGLSALSOSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105504
